"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Subscription.Type","newDate","count","monthYear"
"0h 15m 21s","12/15/2012 12:55","12/15/2012 13:10","19th St & Constitution Ave NW","Lincoln Memorial","W01366","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 21m 21s","12/15/2012 12:55","12/15/2012 13:16","4th & East Capitol St NE","North Capitol St & F St NW","W00590","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 14m 45s","12/15/2012 12:54","12/15/2012 13:09","Massachusetts Ave & Dupont Circle NW","34th St & Wisconsin Ave NW","W00232","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 21m 46s","12/15/2012 12:54","12/15/2012 13:16","4th & East Capitol St NE","North Capitol St & F St NW","W01326","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 16m 36s","12/15/2012 12:55","12/15/2012 13:11","19th St & Constitution Ave NW","Lincoln Memorial","W00666","Casual",2012-12-15 12:00:00,1,"2012-12"
"1h 21m 18s","12/15/2012 12:56","12/15/2012 14:17","USDA / 12th & Independence Ave SW","USDA / 12th & Independence Ave SW","W00265","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 17m 6s","12/15/2012 12:54","12/15/2012 13:11","14th & R St NW","Columbus Circle / Union Station","W01216","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 3m 4s","12/15/2012 12:54","12/15/2012 12:57","21st & M St NW","25th St & Pennsylvania Ave NW","W20003","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 2m 56s","12/15/2012 12:54","12/15/2012 12:57","Ballston Metro / N Stuart & 9th St N","Fairfax Dr & Glebe Rd","W00128","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 4m 42s","12/15/2012 12:54","12/15/2012 12:58","Clarendon Metro / Wilson Blvd & N Highland St","Wilson Blvd & Franklin Rd","W00287","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 19m 10s","12/15/2012 12:53","12/15/2012 13:13","17th & Rhode Island Ave NW","1st & Rhode Island Ave NW","W20197","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 11m 20s","12/15/2012 12:53","12/15/2012 13:05","20th St & Florida Ave NW","18th & M St NW","W01067","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 3m 56s","12/15/2012 12:53","12/15/2012 12:57","15th & P St NW","Massachusetts Ave & Dupont Circle NW","W20021","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 37m 7s","12/15/2012 12:54","12/15/2012 13:31","14th & Harvard St NW","D St & Maryland Ave NE","W00046","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 15m 14s","12/15/2012 12:53","12/15/2012 13:09","1st & M St NE","Smithsonian / Jefferson Dr & 12th St SW","W01445","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 57m 45s","12/15/2012 12:53","12/15/2012 13:51","Smithsonian / Jefferson Dr & 12th St SW","20th & Crystal Dr","W01049","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 4m 12s","12/15/2012 12:53","12/15/2012 12:57","16th & Harvard St NW","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W00635","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 12m 8s","12/15/2012 12:53","12/15/2012 13:05","22nd & I St NW / Foggy Bottom","7th & R St NW / Shaw Library","W00529","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 9m 6s","12/15/2012 12:53","12/15/2012 13:02","1st & K St SE","Columbus Circle / Union Station","W20169","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 7m 29s","12/15/2012 12:52","12/15/2012 13:00","14th & Rhode Island Ave NW","5th St & K St NW","W00871","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 58m 16s","12/15/2012 12:53","12/15/2012 13:51","Smithsonian / Jefferson Dr & 12th St SW","20th & Crystal Dr","W20895","Casual",2012-12-15 12:00:00,1,"2012-12"
